area,bhk_count,rera_approval,status,flat_type,Actual Price,Predicted Price,Residual
1269,2,1,under construction,apartment,7500000,7968857.144,-468857.1443
548,2,1,under construction,apartment,2192000,2928880,-736880
1751,3,1,under construction,apartment,9800000,9977832.37,-177832.3699
1383,2,0,ready to move,apartment,12400000,11405588.74,994411.2567
2300,3,0,ready to move,apartment,54100000,47999036.05,6100963.947
2900,3,0,ready to move,apartment,52200000,58178078.28,-5978078.28
4518,4,0,ready to move,floor,50000000,51677722.59,-1677722.589
2945,3,1,under construction,apartment,56500000,56524736.07,-24736.07124
918,2,0,ready to move,apartment,4865000,4531671.667,333328.3333
3600,4,0,ready to move,floor,45000000,41665880.93,3334119.07
4000,4,0,ready to move,apartment,33000000,76460848.45,-43460848.45
4518,4,0,ready to move,floor,65000000,51677722.59,13322277.41
1800,3,0,under construction,plot,12500000,15194338.67,-2694338.674
2215,3,0,ready to move,apartment,35800000,26756949.21,9043050.788
2925,3,0,ready to move,apartment,25100000,30626682.47,-5526682.468
3518,3,0,ready to move,apartment,84400000,83838000,562000
1955,3,1,under construction,apartment,39100000,36196728.04,2903271.959
4500,4,0,ready to move,apartment,70000000,49694155.89,20305844.11
2138,3,0,ready to move,apartment,25000000,38529027.63,-13529027.63
6900,4,0,ready to move,apartment,63100000,113578976.2,-50478976.19
3532,4,0,ready to move,apartment,134100000,133729000,371000
9000,5,0,ready to move,plot,127000000,196400624.7,-69400624.71
1450,2,0,ready to move,apartment,11600000,19257282.58,-7657282.582
3843,3,0,ready to move,apartment,84500000,77473976.19,7026023.81
1402,3,1,under construction,apartment,29800000,31666738.1,-1866738.095
1893,2,1,under construction,apartment,33000000,30575648.81,2424351.19
1100,3,0,ready to move,plot,4500000,4647449.664,-147449.6642
2200,4,0,ready to move,apartment,24400000,23095275.43,1304724.567
2995,4,0,ready to move,apartment,85300000,70413060.57,14886939.43
2160,3,0,ready to move,floor,13500000,20706361.39,-7206361.389
1381,2,0,ready to move,apartment,30900000,27606964.04,3293035.962
2003,3,0,ready to move,apartment,55700000,26460258.41,29239741.59
3850,3,0,ready to move,apartment,84700000,81773504.55,2926495.455
3956,4,1,under construction,apartment,80100000,80100000,0
3618,4,0,ready to move,plot,45000000,40591101.59,4408898.413
1702,4,1,under construction,apartment,28000000,28000000,0
2655,3,0,ready to move,apartment,42400000,35166907.72,7233092.28
2200,3,1,under construction,apartment,28600000,29085205.99,-485205.9857
1731,4,1,under construction,apartment,68400000,68400000,0
2540,4,0,ready to move,plot,37500000,33346642.86,4153357.143
1946,3,1,under construction,apartment,38900000,35717221,3182779.003
1204,0,0,new,plot,17300000,10008120,7291880
3088,4,0,ready to move,apartment,117200000,117200000,0
1357,3,1,under construction,apartment,55900000,41673831.78,14226168.22
2800,4,1,under construction,apartment,36400000,41460530.15,-5060530.146
500,2,0,ready to move,plot,3100000,5456744,-2356744
1362,3,0,ready to move,apartment,13000000,10957773.02,2042226.984
1975,3,1,under construction,apartment,39500000,36229456.16,3270543.845
1105,2,1,under construction,apartment,9500000,8330657.725,1169342.275
1567,4,1,under construction,apartment,33300000,33806076.92,-506076.9231
1035,0,0,resale,plot,27500000,23992321.71,3507678.286
990,2,0,ready to move,apartment,19900000,15946568.98,3953431.022
3243,3,0,ready to move,apartment,48600000,69732000,-21132000
1565,3,0,ready to move,apartment,6900000,7585974.603,-685974.6032
950,2,0,ready to move,plot,4800000,7052457.898,-2252457.898
3240,4,0,ready to move,house,42500000,54866484.69,-12366484.69
2700,4,0,ready to move,floor,30000000,33102992.25,-3102992.249
2435,3,0,ready to move,apartment,15600000,42784811.51,-27184811.51
2100,0,0,new,plot,32600000,30163158.73,2436841.27
3044,4,0,ready to move,apartment,38000000,37635333.33,364666.6667
2410,3,1,under construction,apartment,45700000,45552291.67,147708.3333
4500,4,0,ready to move,plot,60000000,44230343.31,15769656.69
1308,3,1,under construction,apartment,30700000,31125355.88,-425355.8824
780,2,1,under construction,apartment,7222000,9422086.944,-2200086.944
3130,4,0,ready to move,apartment,30000000,43762636.51,-13762636.51
900,2,0,ready to move,plot,3800000,3933813.041,-133813.0415
2421,0,0,new,plot,15000000,29699966.67,-14699966.67
5579,4,0,ready to move,plot,39500000,100576400,-61076400
3387,4,1,under construction,apartment,65000000,58044000,6956000
1642,3,1,under construction,apartment,19900000,19309841.53,590158.4675
4500,1,0,resale,plot,75000000,46367251.26,28632748.74
1593,3,1,under construction,floor,17500000,18306050,-806050
1500,3,0,ready to move,plot,7200000,12768523.12,-5568523.124
2025,3,0,ready to move,plot,9000000,18293167.27,-9293167.267
1976,3,1,under construction,apartment,39500000,33311934.44,6188065.562
1457,3,0,ready to move,apartment,10500000,9190567.56,1309432.44
2262,3,1,under construction,apartment,27100000,42710770.09,-15610770.09
2610,3,0,ready to move,apartment,75000000,57242000,17758000
1358,2,1,under construction,apartment,23000000,21916904.1,1083095.905
2360,3,0,ready to move,apartment,24400000,19165500,5234500
1120,3,1,under construction,apartment,12500000,11261379.1,1238620.905
3455,4,0,ready to move,apartment,41400000,42087986.9,-687986.9048
2134,3,0,ready to move,apartment,25000000,39924444.3,-14924444.3
1169,3,1,under construction,apartment,29900000,13353500,16546500
4572,4,0,ready to move,villa,88700000,67582750,21117250
1620,3,1,under construction,floor,21000000,18236356.49,2763643.512
2441,2,0,ready to move,apartment,25000000,29582142.12,-4582142.116
1900,3,0,ready to move,floor,27500000,18098439.21,9401560.786
2090,3,1,under construction,apartment,29200000,30707235.73,-1507235.73
1582,4,1,under construction,apartment,33600000,35678716.67,-2078716.667
1535,3,0,ready to move,apartment,56000000,55484000,516000
2061,4,0,ready to move,apartment,30000000,62126122.54,-32126122.54
2220,3,0,ready to move,plot,7000000,19537090.91,-12537090.91
2835,4,1,under construction,apartment,15700000,60953000,-45253000
2230,3,0,ready to move,apartment,40100000,39079733.33,1020266.667
2880,4,0,under construction,plot,32500000,50972800,-18472800
1200,3,0,ready to move,plot,4500000,5011334.701,-511334.7005
1950,3,0,ready to move,apartment,11000000,26307433.65,-15307433.65
2382,3,0,ready to move,apartment,16500000,30595698.97,-14095698.97
2850,3,0,ready to move,apartment,62700000,50037853.17,12662146.83
1850,3,1,under construction,apartment,22200000,23468148.52,-1268148.518
1800,0,0,new,plot,14900000,11752810.24,3147189.758
2800,3,0,ready to move,plot,26000000,23576478.39,2423521.612
3150,4,1,under construction,apartment,25000000,42574761.9,-17574761.9
2700,3,0,ready to move,floor,31000000,20160580.5,10839419.5
1470,3,1,under construction,apartment,22700000,21251555.56,1448444.444
1895,3,1,under construction,apartment,37900000,29666255.95,8233744.048
1457,2,0,ready to move,apartment,14500000,12148048.6,2351951.396
1569,4,1,under construction,apartment,33400000,39630076.92,-6230076.923
750,2,0,ready to move,apartment,6500000,6435751.19,64248.80952
2000,3,0,under construction,plot,12500000,16858109.17,-4358109.172
1450,3,0,ready to move,plot,12000000,9590938.988,2409061.012
1860,3,1,under construction,apartment,20400000,23163604.71,-2763604.715
1067,2,1,under construction,apartment,9000000,9325485.714,-325485.7143
730,2,1,under construction,apartment,5657000,3275840,2381160
2390,4,0,ready to move,apartment,19500000,19176928.57,323071.4286
1261,3,1,under construction,apartment,26800000,24496543.22,2303456.783
6600,5,0,ready to move,villa,70000000,126473166.7,-56473166.67
1657,4,0,ready to move,apartment,34400000,34400000,0
2812,3,0,ready to move,apartment,28000000,43789112.48,-15789112.48
1500,3,0,ready to move,plot,11000000,12768523.12,-1768523.124
1145,2,1,under construction,apartment,16000000,15809036.21,190963.7931
2595,3,0,ready to move,apartment,57000000,51387915.95,5612084.046
2440,4,1,under construction,apartment,43900000,43900000,0
1630,2,0,ready to move,apartment,34200000,25386166.67,8813833.333
6000,3,0,ready to move,apartment,109000000,174852132.9,-65852132.92
400,1,1,under construction,apartment,1630000,1566760,63240
2549,3,1,under construction,apartment,35000000,44197264.29,-9197264.286
6521,5,0,ready to move,house,354600000,193359351.2,161240648.8
2015,3,1,under construction,apartment,40800000,36472130.47,4327869.529
2550,3,0,ready to move,apartment,27400000,34358234.76,-6958234.759
3680,4,1,under construction,apartment,68200000,63681106.75,4518893.246
646,3,0,ready to move,apartment,2584000,6041680,-3457680
2962,3,0,ready to move,apartment,65100000,64924557.14,175442.8571
1025,3,1,under construction,apartment,15900000,10830357.14,5069642.857
1261,2,0,ready to move,apartment,21400000,24068042.03,-2668042.027
3529,4,0,ready to move,apartment,134000000,130717000,3283000
716,1,0,ready to move,apartment,9630000,5722714.286,3907285.714
1205,3,1,under construction,apartment,15000000,14754532.11,245467.8932
2072,3,1,under construction,apartment,19200000,25854979.61,-6654979.612
3240,0,0,resale,plot,46800000,54010700.13,-7210700.13
1500,1,0,under construction,apartment,15000000,18436906.67,-3436906.667
1614,3,1,under construction,apartment,13900000,14203000,-303000
676,2,0,ready to move,plot,4000000,4385428.69,-385428.6905
1180,3,1,under construction,apartment,14000000,13855953.64,144046.3636
1200,3,0,ready to move,plot,3600000,5011334.701,-1411334.701
2249,4,1,under construction,apartment,494700000,174563819.8,320136180.2
6260,6,0,ready to move,apartment,118300000,121441000,-3141000
1650,3,1,under construction,apartment,33000000,166609732,-133609732
450,0,0,new,plot,325000,944618.7884,-619618.7884
1518,3,1,under construction,apartment,23900000,18367693.66,5532306.343
1625,2,0,ready to move,apartment,34100000,34823833.33,-723833.3333
1464,4,1,under construction,apartment,44100000,44100000,0
1352,3,1,under construction,apartment,22300000,22418000,-118000
2150,3,0,ready to move,apartment,19900000,22816075.76,-2916075.76
1440,3,0,ready to move,apartment,18700000,17258910.68,1441089.322
2250,4,0,ready to move,apartment,32000000,27061580.52,4938419.481
2072,3,1,under construction,apartment,27500000,25854979.61,1645020.388
4518,0,0,resale,plot,57500000,85846077.36,-28346077.36
750,2,0,ready to move,floor,2650000,3940652.143,-1290652.143
1435,3,1,under construction,apartment,6999000,20154909.19,-13155909.19
4968,4,0,ready to move,apartment,109200000,77322110.45,31877889.55
2047,3,0,ready to move,apartment,33700000,34824372.22,-1124372.222
2090,3,1,under construction,apartment,30800000,30707235.73,92764.27011
848,2,1,under construction,apartment,19000000,18698460,301540
1650,3,0,ready to move,apartment,20000000,17824483.18,2175516.821
333,1,1,under construction,apartment,1382000,1375590,6410
1469,4,1,under construction,apartment,55000000,55000000,0
1975,3,1,under construction,apartment,39500000,36229456.16,3270543.845
3461,4,0,ready to move,apartment,22500000,27115000,-4615000
1572,0,0,new,plot,11300000,11466230.77,-166230.7692
2795,3,1,under construction,apartment,46100000,50270809.39,-4170809.391
1800,3,1,under construction,apartment,16500000,24618030.85,-8118030.846
2700,4,0,ready to move,apartment,45000000,36457846.84,8542153.159
2150,3,0,ready to move,apartment,16000000,22816075.76,-6816075.76
700,2,1,under construction,apartment,2100000,2603350.135,-503350.1349
2000,3,0,ready to move,floor,13500000,16036520.25,-2536520.251
2668,3,0,ready to move,apartment,42900000,40109150,2790850
1450,3,0,ready to move,plot,10500000,9590938.988,909061.0119
5160,4,0,ready to move,apartment,77400000,93534357.14,-16134357.14
2000,3,0,ready to move,plot,11000000,13418230.09,-2418230.091
1465,2,1,under construction,apartment,11800000,16684318.01,-4884318.009
5805,99,0,new,plot,33500000,40718500,-7218500
4500,4,0,ready to move,plot,60000000,44230343.31,15769656.69
1930,3,0,ready to move,apartment,8100000,16223529.13,-8123529.133
7851,5,0,ready to move,apartment,172700000,126798438.1,45901561.9
1300,2,1,under construction,apartment,286000000,95513421.81,190486578.2
1508,2,1,under construction,apartment,18400000,17855737.7,544262.3016
4500,4,0,ready to move,apartment,72900000,49694155.89,23205844.11
1330,2,1,under construction,apartment,292600000,102130765.5,190469234.5
2700,4,0,ready to move,plot,27500000,29281084.39,-1781084.394
1852,3,1,under construction,apartment,12700000,16623430.79,-3923430.793
1780,3,0,ready to move,apartment,10500000,19312459.09,-8812459.091
2273,4,0,ready to move,apartment,19700000,22137996.68,-2437996.681
1975,3,1,under construction,apartment,39500000,36229456.16,3270543.845
2440,4,1,under construction,apartment,43900000,43900000,0
2576,4,0,ready to move,apartment,22400000,26257226.19,-3857226.19
1528,3,1,under construction,apartment,18500000,17856604.53,643395.4737
4000,3,0,ready to move,apartment,40000000,58808052.14,-18808052.14
2700,0,0,new,plot,22500000,34739438.81,-12239438.81
850,2,0,ready to move,apartment,6800000,4879115.556,1920884.444
2650,3,0,ready to move,apartment,38400000,36274584.42,2125415.582
2248,4,1,under construction,apartment,44900000,44767881.1,132118.8951
1750,3,0,ready to move,apartment,21000000,16393533.19,4606466.813
1900,3,0,ready to move,apartment,15700000,21929715.81,-6229715.811
1966,3,0,ready to move,apartment,32500000,28523833.33,3976166.667
3400,4,1,under construction,floor,44000000,42318853.17,1681146.825
3240,4,0,ready to move,floor,29900000,35095018.94,-5195018.944
1955,3,1,under construction,apartment,33800000,36196728.04,-2396728.041
1550,2,0,ready to move,plot,6000000,12142593.37,-6142593.375
9500,5,0,ready to move,apartment,706000000,203460666.7,502539333.3
1750,2,0,under construction,plot,38500000,23338281.5,15161718.5
2766,3,1,under construction,apartment,45600000,50224709.13,-4624709.126
1518,3,1,under construction,apartment,18200000,18367693.66,-167693.657
2400,3,0,ready to move,apartment,18000000,30126021.47,-12126021.47
4000,4,0,ready to move,villa,90000000,97551095.8,-7551095.804
1700,3,0,ready to move,floor,16000000,17822776.01,-1822776.012
3000,6,0,ready to move,plot,95000000,20401810.71,74598189.29
2937,3,1,under construction,apartment,54500000,52102068.21,2397931.791
4216,4,0,ready to move,apartment,57800000,59283202.49,-1483202.489
1381,2,1,under construction,apartment,16000000,14966572.21,1033427.793
3700,4,0,ready to move,apartment,66600000,45007233.69,21592766.31
2105,3,1,under construction,apartment,42100000,39400009.81,2699990.188
3558,4,1,under construction,apartment,96200000,75586000,20614000
3909,4,0,ready to move,villa,75800000,71819516.67,3980483.333
2077,3,1,under construction,apartment,45500000,45681265.47,-181265.4679
3600,4,0,ready to move,floor,25500000,41665880.93,-16165880.93
1200,2,0,ready to move,apartment,9600000,7756847.657,1843152.343
2550,3,0,ready to move,apartment,48200000,34358234.76,13841765.24
2844,3,0,resale,plot,47400000,46998529.33,401470.671
6840,4,0,ready to move,plot,46500000,63335961.54,-16835961.54
3240,4,0,ready to move,floor,23000000,35095018.94,-12095018.94
10000,6,0,ready to move,penthouse,460000000,116064047.6,343935952.4
2250,3,1,under construction,apartment,39300000,36914399.1,2385600.904
2403,0,0,new,plot,32700000,42173726.36,-9473726.364
540,0,0,new,plot,960000,1560216.47,-600216.4697
3844,3,0,ready to move,apartment,84500000,67179922.62,17320077.38
2875,4,0,ready to move,apartment,18500000,31095863.71,-12595863.71
2448,4,0,ready to move,apartment,68100000,61799230.56,6300769.444
1091,3,1,under construction,apartment,37800000,31239458.39,6560541.608
2637,4,1,under construction,apartment,18000000,33319231.58,-15319231.58
1701,0,0,new,plot,10000000,19755420.92,-9755420.924
1055,2,1,under construction,apartment,9581000,11592913.97,-2011913.969
1751,3,1,under construction,apartment,15500000,9977832.37,5522167.63
2631,4,0,ready to move,apartment,18900000,33904800,-15004800
3980,4,0,ready to move,apartment,71600000,66823111.11,4776888.889
1123,2,1,under construction,floor,9300000,9550211.905,-250211.9048
2720,4,0,ready to move,apartment,43000000,56500000,-13500000
1350,2,0,ready to move,apartment,29800000,15836715.53,13963284.47
4096,4,0,ready to move,apartment,90100000,70728833.33,19371166.67
1975,3,1,under construction,apartment,39500000,36229456.16,3270543.845
2200,3,0,ready to move,plot,13000000,21729582.07,-8729582.073
2000,3,1,under construction,apartment,26800000,22737191.7,4062808.303
1665,3,1,under construction,apartment,35400000,90715991.45,-55315991.45
1390,3,0,ready to move,apartment,19400000,11710896.62,7689103.381
2375,3,0,ready to move,apartment,36800000,32932618.65,3867381.349
1020,2,1,under construction,apartment,10200000,8091961.48,2108038.52
1440,2,0,ready to move,apartment,8000000,17534983.69,-9534983.694
2343,4,0,ready to move,apartment,34000000,45765440.48,-11765440.48
600,2,1,under construction,apartment,2380000,2387774.957,-7774.95671
1310,2,1,under construction,apartment,20900000,116838784.5,-95938784.51
2809,4,0,ready to move,plot,25000000,23840743.25,1159256.746
2700,4,0,ready to move,floor,27200000,33102992.25,-5902992.249
1711,3,0,ready to move,apartment,35000000,30843499.71,4156500.289
6838,5,1,under construction,apartment,126900000,123321530.9,3578469.106
